Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Mixed grass,0.47,Singh and Yadava 1974
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Eragrostis,0.342,Singh 1972
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Desmostachya,0.621,Singh 1972
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Sehima-Heteropogon,0.488,Shankar et al. 1973
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Dichanthium,0.892,Misra 1973
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Sehima,0.921,Billore 1973
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Mixed grass,1.29,Naik 1973
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Heteropogon-Apluda-Cymbopogon,1.03,Jain 1971
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Tropical grassland,1.78,Singh et al. 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Tropical grassland,0.515,Singh et al. 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Tropical grassland,1,Singh et al. 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Tropical grassland,2.03,Singh et al. 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Shortgrass steppe,0.988,Milchunas and Laurenroth 1992
